UrlId	Seed URL	Cost	Trial to success cost
1	https://www.ncu.edu.tw/events/showevent/eventid/9380	1	1
2	https://www.tam.gov.taipei/News_Content.aspx?n=794B17A953424610&sms=9D72E82EC16F3E64&s=E310EC676136BFC3	2	2
3	https://www.gov.taipei/News_Content.aspx?n=DB8DBA97CF926C87&sms=9D72E82EC16F3E64&s=CF452803E6562643	1	1
4	http://artist.nccu.edu.tw/ex1.html	3	3
5	http://careernthu.conf.asia/news.aspx?lang=cht&pid=5922	3	3
6	https://parklanes.com.tw/takewhatyouneed/	13	(Event Source Page was not found)
7	http://cpmat.org.tw/?p=6578	1	1
8	http://demo.wineacademy.tw/page/?b=62&cl=salon&fn=video&p=364	1	1
9	http://ewda.tw/modules/ewda_action/action.php?asn=4774	1	1
10	http://gpm.com.tw/index.php?do=news&pid=0&id=89	1	1
11	http://ice.net.tw/news_view.php?sn=1824	2	2
12	http://investmentcommunity16888.blogspot.com/2020/12/20210107.html	3	3
13	http://kfa.kcg.gov.tw/news/detail/5eb8f68dda12e50007c9901e	1	1
14	http://nfu.buyersline.com.tw/news_detail.php?NNo=127	1	1
15	http://npac-nso.org/npac/news/1587988763994292.html	6	6
16	http://taichung.trkmall.com.tw/event-content.html?sn=994	1	1
17	http://taiwangca.org/news/details/142	2	2
18	https://thecubespace.com/project/liquid-love-sound-meridian-zh/	1	1
19	https://www.tpqc.com.tw/python%e5%a4%a7%e6%95%b8%e6%93%9a%e9%87%91%e8%9e%8d%e8%82%a1%e7%a5%a8%e6%9c%9f%e8%b2%a8%e7%b6%b2%e8%b7%af%e7%88%ac%e8%9f%b2%e8%b3%87%e6%96%99%e5%88%86%e6%9e%90%e5%af%a6%e5%8b%99%e7%8f%ad%e7%ac%ac01-2/	2	2
20	http://tw-toylibrary.org/new/event_detail.php?id=16	1	1
21	https://tydep-eew.com.tw/news-detail.php?id=280	1	1
22	http://umkt.jutfoundation.org.tw/news/59/2712	1	1
23	https://www.artistvillage.org/event-detail.php?p=4354	1	1
24	http://www.asiaartcenter.org/asia/art-taipei-2020-%e4%ba%9e%e6%b4%b2%e8%97%9d%e8%a1%93%e4%b8%ad%e5%bf%83-%e5%b1%95%e4%bd%8d-c06/	2	2
25	http://www.chailease.org.tw/ugC_News_Detail.asp?hidNewsID=134	2	2
26	http://www.chi-nanchurch.tw/bulletin/events/2020102701/view	1	1
